Symbol,Name,Industry,Sector,Pre-Tax Profit Margin,Leverage Ratio,Current Ratio,Price / Book Ratio,Price / Cash Flow Ratio,Price / Free Cash Flow Ratio,Debt / Equity Ratio,Price / Sales Ratio,Last,Volume
7250.T,Pacific Industrial Co Ltd,Auto Parts,Consumer Cyclical,6.63,1.75,1.58,0.43,2.07,,0.37,0.35,1261.00,66600
6143.T,Sodick Co Ltd,Specialty Industrial Machinery,Industrials,3.03,1.72,2.95,0.45,3.79,,0.44,0.52,735.00,126000
5191.KL,Tambun Indah Land Bhd,Real Estate - Diversified,Real Estate,29.23,1.14,6.70,0.46,7.64,7.52,0.09,1.61,0.80,20000
CALT.MI,Caltagirone S.p.A.,Building Materials,Basic Materials,12.39,2.56,1.42,0.46,1.51,2.10,0.18,0.41,7.30,12377
5049.KL,Country View Bhd,Real Estate - Development,Real Estate,19.93,1.65,3.53,0.47,3.63,4.01,0.41,1.02,2.33,122300
5080.KL,Poh Kong Holdings Bhd,Luxury Goods,Consumer Cyclical,10.18,1.32,3.88,0.47,4.79,4.86,0.19,0.26,1.03,309200
8982.KL,Cepatwawasan Group Bhd,Farm Products,Consumer Defensive,11.61,1.28,2.24,0.47,3.56,7.00,0.14,0.64,0.645,2000
6336.T,Ishii Hyoki Co Ltd,Specialty Industrial Machinery,Industrials,7.21,1.71,2.38,0.47,7.96,,0.20,0.28,574.00,27500
6459.KL,MNRB Holdings Bhd,Insurance - Reinsurance,Financial Services,,3.98,2.47,0.48,,-23.45,0.19,0.91,2.03,31700
LTLS.JK,Lautan Luas,Specialty Chemicals,Basic Materials,5.13,2.11,1.16,0.48,3.72,9.05,0.41,0.18,920.00,102200
G0I.SI,Nam Lee Pressed Metal Industries Ltd,Metal Fabrication,Industrials,9.49,1.41,2.86,0.48,67.00,-17.63,0.24,0.45,0.340,193100
9312.T,Keihin Co Ltd,Integrated Freight & Logistics,Industrials,5.89,1.74,1.67,0.48,3.71,,0.31,0.30,2260.00,9400
QDT.PA,Quadient S.A.,Software - Application,Technology,12.08,2.62,1.50,0.48,3.31,9.31,0.03,0.50,16.66,21082
DCOHF,Dickson Concepts (International) Ltd,Luxury Goods,Consumer Cyclical,12.48,1.39,4.06,0.49,5.19,5.14,0.28,0.83,0.5649,27404
7246.T,Press Kogyo Co Ltd,Auto Parts,Consumer Cyclical,4.97,1.72,1.66,0.49,2.03,,0.07,0.30,547.00,185700
AALI.JK,Astra Agro Lestari,Farm Products,Consumer Defensive,7.61,1.27,2.60,0.50,3.19,4.62,0.14,0.52,5950.00,809000
4246.T,DaikyoNishikawa Corp,Auto Parts,Consumer Cyclical,5.10,1.95,1.72,0.50,1.99,,0.42,0.25,566.00,61200
0746.HK,Lee & Man Chemical Co Ltd,Chemicals,Basic Materials,14.89,1.21,1.21,0.50,2.83,10.53,0.11,0.75,3.49,408000
YUEIY,Yue Yuen Industrial (Holdings) Ltd ADR,Footwear & Accessories,Consumer Cyclical,5.75,1.66,2.17,0.50,2.37,,0.22,0.27,7.2500,832
200512.SZ,Tsann Kuen (China) Enterprise Co Ltd B,Furnishings Fixtures & Appliances,Consumer Cyclical,4.90,2.39,2.29,0.51,4.12,5.99,0.36,0.32,3.19,82000
5018.T,Moresco Corp,Specialty Chemicals,Basic Materials,4.07,1.78,2.14,0.51,3.72,,0.25,0.32,1173.00,1400
EXE.PA,Exel Industries S.A.,Farm & Heavy Construction Machinery,Industrials,5.30,1.92,1.75,0.51,5.71,13.06,0.39,0.21,35.30,665
0551.HK,Yue Yuen Industrial (Holdings) Ltd,Footwear & Accessories,Consumer Cyclical,5.76,1.66,2.17,0.52,4.26,,0.22,0.28,11.14,2174663
1899.T,Fukuda Corp,Engineering & Construction,Industrials,4.60,1.69,2.11,0.52,7.44,,0.01,0.26,5310.00,4500
0240.HK,Build King Holdings Ltd,Engineering & Construction,Industrials,3.93,3.18,1.28,0.52,4.35,3.30,0.05,0.10,1.13,320000
0098.HK,Xingfa Aluminium Holdings Ltd,Aluminum,Basic Materials,5.60,2.46,1.60,0.52,2.16,6.69,0.49,0.16,7.66,64000
7439.KL,Teck Guan Perdana Bhd,Packaged Foods,Consumer Defensive,7.08,1.43,2.80,0.53,,-17.33,0.15,0.19,1.74,2100
0054.KL,Karyon Industries Bhd,Specialty Chemicals,Basic Materials,7.07,1.24,5.52,0.55,37.50,-12.08,0.07,0.38,0.145,104000
COMCL.BO,Comfort Commotrade Ltd,Capital Markets,Financial Services,83.81,1.36,6.31,0.55,4.71,,0.16,1.01,33.10,6986
0146.HK,Tai Ping Carpets International Ltd,Textile Manufacturing,Consumer Cyclical,7.49,1.84,1.51,0.56,3.25,3.99,0.31,0.39,1.19,67000
EXCOF,Exco Technologies Ltd,Auto Parts,Consumer Cyclical,7.45,1.53,2.83,0.56,2.80,4.22,0.26,0.34,3.9600,500
S56.SI,Samudera Shipping Line Ltd,Marine Shipping,Industrials,14.92,1.64,3.82,0.56,3.33,12.42,0.47,0.61,0.830,728200
200581.SZ,Weifu High-Technology Group Co Ltd B,Auto Parts,Consumer Cyclical,5.14,1.43,1.80,0.56,11.64,21.41,0.04,0.96,12.18,231517
XTC.TO,Exco Technologies Ltd,Auto Parts,Consumer Cyclical,7.43,1.53,2.83,0.56,2.79,4.45,0.26,0.35,5.93,33185
5026.KL,MHC Plantations Bhd,Farm Products,Consumer Defensive,12.55,2.32,2.59,0.56,2.57,4.16,0.17,0.38,0.97,18400
ELFIF,E-L Financial Corp Ltd,Insurance - Life,Financial Services,,3.32,1.95,0.57,10.50,10.41,0.07,1.32,975.0505,10
ELF.TO,E-L Financial Corp Ltd,Insurance - Life,Financial Services,,3.32,1.95,0.57,10.57,10.83,0.07,1.38,1375.00,712
564.SI,Spindex Industries Ltd,Tools & Accessories,Industrials,10.10,1.32,2.90,0.57,4.16,8.32,0.03,0.54,0.870,9400
0552.HK,China Communications Services Corp Ltd,Telecom Services,Communication Services,1.85,3.00,1.19,0.58,4.25,5.19,0.05,0.17,4.05,13309000
AYN.SI,Global Testing Corp Ltd,Semiconductor Equipment & Materials,Technology,13.07,1.22,2.97,0.58,2.87,11.31,0.00,0.69,1.110,14600
5MZ.SI,Kingsmen Creatives Ltd,Consulting Services,Industrials,5.74,2.30,1.55,0.59,5.38,12.50,0.19,0.18,0.375,153500
MAGN.ME,Magnitogorsk Iron & Steel Works,Steel,Basic Materials,19.11,1.36,2.16,0.59,3.84,3.40,0.11,0.51,32.82,43803628
UNIC.JK,Unggul Indah Cahaya,Chemicals,Basic Materials,6.92,1.18,7.68,0.59,4.22,4.58,0.02,0.50,7325.00,12900
5715.T,Furukawa Co Ltd,Other Industrial Metals & Mining,Basic Materials,4.31,2.00,2.04,0.59,7.49,,0.47,0.40,2074.00,113900
4611.T,Dai Nippon Toryo Co Ltd,Specialty Chemicals,Basic Materials,6.82,1.71,1.45,0.59,10.46,,0.12,0.50,1250.00,27200
1556.HK,Chinney Kin Wing Holdings Ltd,Engineering & Construction,Industrials,5.16,2.49,1.30,0.60,1.27,1.96,0.00,0.19,0.32,455000
2062.KL,Harbour-Link Group Bhd,Integrated Freight & Logistics,Industrials,13.71,1.50,3.39,0.60,3.27,33.68,0.07,0.50,1.28,51400
PXGYF,Pax Global Technology Ltd,Business Equipment & Supplies,Industrials,14.41,1.22,5.05,0.60,4.10,4.47,0.01,0.77,0.6159,6050
ASGR.JK,Astra Graphia,Specialty Business Services,Industrials,7.31,1.53,2.57,0.61,2.54,2.73,0.01,0.41,875.00,2678400
3369.HK,Qinhuangdao Port Co Ltd,Marine Shipping,Industrials,20.87,1.44,1.67,0.61,4.49,6.53,0.23,1.67,2.15,306500
2663.HK,KPa-BM Holdings Ltd,Engineering & Construction,Industrials,7.26,1.82,2.17,0.61,1.99,2.03,0.03,0.23,0.285,330000
WEHB.BR,Wereldhave Belgium C.V.A. S.C.A.,REIT - Retail,Real Estate,64.33,1.44,0.48,0.61,8.22,7.84,0.38,5.51,49.80,1023
SHREYANIND.NS,Shreyans Industries Ltd,Paper & Paper Products,Basic Materials,7.47,1.45,2.47,0.61,3.25,,0.11,0.40,177.04,7476
1A1.SI,Wong Fong Industries Ltd,Farm & Heavy Construction Machinery,Industrials,9.75,1.40,2.92,0.61,3.13,3.52,0.16,0.53,0.158,22000
2168.T,Pasona Group Inc,Staffing & Employment Services,Industrials,0.26,2.01,2.15,0.62,11.50,,0.25,0.27,2157.00,138700
ENRGA.PR,Energoaqua a.s.,Utilities - Diversified,Utilities,29.62,1.24,5.72,0.62,3.43,8.84,0.09,2.32,3320.00,15
CLPI.JK,Colorpak Indonesia,Specialty Chemicals,Basic Materials,7.05,1.40,3.22,0.62,14.85,17.87,0.11,0.39,1175.00,226000
PCFBY,Pacific Basin Shipping Ltd ADR,Marine Shipping,Industrials,5.16,1.32,1.62,0.62,3.83,6.57,0.19,0.46,4.4900,332
EXXAF,Exxaro Resources Ltd,Thermal Coal,Energy,17.44,1.75,4.80,0.62,4.31,5.70,0.16,0.83,7.6500,700
MISHTANN.BO,Mishtann Foods Ltd,Farm Products,Consumer Defensive,25.42,1.07,17.26,0.62,,,0.00,0.36,4.61,384504
1827.T,Nakano Corp,Engineering & Construction,Industrials,3.41,1.87,1.64,0.63,,,0.02,0.25,759.00,192600
6491.KL,Kumpulan Fima Bhd,Conglomerates,Industrials,25.52,1.81,3.49,0.63,4.89,-8.63,0.38,0.90,2.28,15300
3443.T,Kawada Technologies Inc,Engineering & Construction,Industrials,8.95,1.93,1.52,0.63,4.15,,0.46,0.41,3190.00,57300
2343.HK,Pacific Basin Shipping Ltd,Marine Shipping,Industrials,5.16,1.32,1.62,0.64,3.93,6.68,0.19,0.47,1.74,15958000
T12.SI,Tat Seng Packaging Group Ltd,Packaging & Containers,Consumer Cyclical,9.18,1.62,2.02,0.64,4.50,5.09,0.33,0.51,0.815,100
SHREYANIND.BO,Shreyans Industries Ltd,Paper & Paper Products,Basic Materials,7.47,1.45,2.47,0.64,3.05,,0.11,0.42,187.90,581
1397.HK,Baguio Green Group Ltd,Waste Management,Industrials,2.63,2.46,1.34,0.65,1.97,2.68,0.29,0.10,0.64,80000
MTLA.JK,Metropolitan Land,Real Estate Services,Real Estate,28.43,1.44,3.19,0.65,13.20,19.30,0.19,1.65,438.00,15400
9199.KL,Lysaght Galvanized Steel Bhd,Steel,Basic Materials,14.12,1.05,22.06,0.65,8.68,9.46,0.00,1.16,2.64,1000
OCCL.BO,Oriental Carbon & Chemicals Ltd.,Chemicals,Basic Materials,14.87,1.25,5.09,0.65,1.86,,0.02,0.35,171.00,1187
0327.HK,Pax Global Technology Ltd,Business Equipment & Supplies,Industrials,14.41,1.22,5.05,0.66,4.10,4.86,0.01,0.84,4.67,1227868
IBG.MC,Iberpapel Gestion S.A.,Paper & Paper Products,Basic Materials,10.02,1.20,4.02,0.66,5.33,,0.05,0.93,20.40,7224
CAI.MI,Cairo Communication S.p.A.,Publishing,Communication Services,10.20,3.16,0.96,0.67,3.14,,0.37,0.35,2.88,282746
OCCL.NS,Oriental Carbon & Chemicals Ltd,Chemicals,Basic Materials,14.87,1.25,5.09,0.67,1.79,,0.02,0.36,171.28,6340
RALS.JK,Ramayana Lestari Sentosa,Department Stores,Consumer Cyclical,6.66,1.39,3.61,0.67,2.86,4.37,0.14,0.87,422.00,28611100
5125.KL,Pantech Group Holdings Bhd,Steel,Basic Materials,13.88,1.35,3.39,0.67,4.20,5.87,0.26,0.63,0.73,3820900
ADOOY,Alamtri Resources Indonesia ADR,Thermal Coal,Energy,35.29,1.36,4.02,0.68,1.80,2.87,0.12,1.64,5.4700,2412
1982.HK,Nameson Holdings Ltd,Apparel Manufacturing,Consumer Cyclical,10.25,1.91,1.78,0.68,5.75,187,0.41,0.39,0.76,720000
FLK.L,Fletcher King Plc,Real Estate Services,Real Estate,8.75,1.25,5.18,0.68,3.10,3.10,0.05,0.71,25.00,635
0934.HK,SINOPEC Kantons Holdings Ltd,Oil & Gas Midstream,Energy,27.07,1.02,42.47,0.68,124,-337,0.00,16.34,4.37,1106000
OROVY,Orient Overseas (International) Ltd ADR,Marine Shipping,Industrials,21.03,1.34,3.37,0.69,2.80,4.66,0.10,0.85,69.9000,301
1339.HK,People`s Insurance Co (Group) of China Ltd,Insurance - Property & Casualty,Financial Services,,6.58,1.06,0.69,2.16,2.25,0.20,0.31,4.59,61308992
NDA.DE,Aurubis AG,Metal Fabrication,Industrials,4.44,1.74,2.13,0.69,3.66,40.20,0.08,0.19,76.55,234158
VANL.L,Van Elle Holdings Plc,Engineering & Construction,Industrials,3.98,1.76,1.44,0.69,6.76,34.50,0.15,0.27,35.00,41870
ELSA.JK,Elnusa,Oil & Gas Equipment & Services,Energy,6.08,2.17,1.31,0.69,1.83,2.47,0.24,0.25,462.00,43640700
NDA.VI,Aurubis AG,Metal Fabrication,Industrials,4.44,1.74,2.13,0.69,4.17,40.54,0.08,0.19,75.90,0
ALC.TO,Algoma Central Corp,Marine Shipping,Industrials,10.68,1.69,0.73,0.69,3.98,-108,0.46,0.89,15.37,16586
0316.HK,Orient Overseas (International) Ltd,Marine Shipping,Industrials,21.03,1.34,3.37,0.70,2.80,4.72,0.10,0.86,108.50,1560535
5126.KL,Sarawak Oil Palms Bhd,Farm Products,Consumer Defensive,10.95,1.37,4.21,0.70,4.22,6.34,0.14,0.50,3.02,48000
CICOY,COSCO SHIPPING Holdings Co Ltd ADR,Marine Shipping,Industrials,25.03,2.12,1.68,0.70,18.10,-13.83,0.32,0.70,7.5159,1489
7270.T,Subaru Corp,Auto Manufacturers,Consumer Cyclical,9.83,1.82,2.63,0.70,3.10,5.49,0.14,0.41,2592.50,1794900
5714.T,Dowa Holdings Co Ltd,Other Industrial Metals & Mining,Basic Materials,4.83,1.74,1.80,0.70,2.31,,0.36,0.40,4560.00,103300
AGMJF,Algoma Central Corp,Marine Shipping,Industrials,10.53,1.69,0.73,0.70,3.98,-87.06,0.46,0.88,11.1050,1000
ADRO.JK,Alamtri Resources Indonesia,Thermal Coal,Energy,35.36,1.36,4.02,0.71,1.77,3.10,0.12,1.81,1900.00,64060200
HAL.AS,HAL Trust,Asset Management,Financial Services,10.45,1.85,1.37,0.71,3.92,8.55,0.33,0.84,115.80,6437
CICOF,COSCO SHIPPING Holdings Co Ltd,Marine Shipping,Industrials,25.03,2.12,1.68,0.72,19.53,-14.14,0.32,0.72,1.6900,3007
FUJHF,Subaru Corp,Auto Manufacturers,Consumer Cyclical,9.85,1.82,2.63,0.72,3.07,5.43,0.14,0.42,18.6000,5431
TPED.SI,PTT Exploration & Production PCL DR,Oil & Gas E&P,Energy,42.01,1.80,2.11,0.72,2.39,4.20,0.24,1.28,3.850,6100
3339.HK,Lonking Holdings Ltd,Farm & Heavy Construction Machinery,Industrials,9.92,1.45,2.64,0.73,5.25,5.91,0.00,0.76,1.95,7799065
MPMX.JK,Mitra Pinasthika Mustika,Auto & Truck Dealerships,Consumer Cyclical,2.51,1.43,1.74,0.73,6.00,6.67,0.00,0.29,1030.00,3463100
0590.HK,Luk Fook Holdings International Ltd,Luxury Goods,Consumer Cyclical,11.90,1.29,3.59,0.73,4.38,5.09,0.15,0.73,16.92,1845000
PANS.JK,Panin Sekuritas,Capital Markets,Financial Services,34.84,1.33,2.53,0.74,4.48,4.94,0.03,3.42,1510.00,51900
0150.HK,Hypebeast Ltd,Internet Content & Information,Communication Services,7.41,1.32,3.97,0.74,3.64,3.95,0.07,0.43,0.172,688800
BYLOF,Big Yellow Group Plc,REIT - Industrial,Real Estate,62.45,1.17,0.31,0.74,16.11,16.84,0.15,9.47,13.4500,1800
BYG.L,Big Yellow Group Plc,REIT - Industrial,Real Estate,62.46,1.17,0.31,0.74,16.60,16.60,0.15,9.33,1020.00,166932
AIAGY,Aurubis AG ADR,Metal Fabrication,Industrials,4.40,1.74,2.13,0.74,4.22,39.58,0.08,0.20,42.9800,100
7235.KL,Superlon Holdings Bhd,Building Products & Equipment,Industrials,11.12,1.28,6.98,0.74,11.01,11.67,0.17,0.88,0.74,45500
1919.HK,COSCO SHIPPING Holdings Co Ltd,Marine Shipping,Industrials,25.02,2.12,1.68,0.74,19.47,-10.17,0.32,0.74,11.70,38210104
SPKOY,SINOPEC Kantons Holdings Ltd ADR,Oil & Gas Midstream,Energy,23.45,1.02,43.55,0.74,16.90,20.47,0.00,18.55,24.1500,162
